牛津高中英语单词表（单元）
Module 1 
A
ability                                      n.能力
undergo                                vt.经历,经受
unfortunately                             adv.不幸地
unite                          vt.＆vi.统一;联合;团结
unknown                        adj.不知道的,未知的
unpleasant                           adj.令人不快的
upper                      adj.上层的;上面的,上边的
V
vanilla                         n.香子兰豆;香草香精
Viking                           n.维京人,北欧海盗
vocabulary                                  n.词汇
volcano                                     n.火山
volunteer                                  n.志愿者
W
warm up                      (使)暖和起来;(使)热身
watch out for                     留意,留心,密切注意
water sports                               水上运动
wealthy                           adj.富有的;富裕的
weatherman                               n.气象员
whisper                  vt.＆vi.低声说,耳语  n.耳语
wise                       adj.明智的;高明的;英明的
wish for                                  盼望,企盼
wooden                                 adj.木制的
wool                                       n.羊毛
workshop                               n.作坊;车间
wound                       n.伤口,创伤  vt.使受伤
writing                             n.文字;文字作品
Module 4
A
absence                        n.缺席,没参加,不在场
accuse                                     vt.控告
be accused of                         被控告犯有..罪
activity                                     n.活动
advertise                   vi.＆vt.(为..)做广告;登广告
advertisement                                n.广告
advertiser                n.登广告者,广告客户;广告商
animation                             n.动画;动画片
announce                     vt.宣布,宣告,宣称;通知
ant                                         n.蚂蚁
appeal                             vi.迎合,有吸引力
  appeal to                        迎合,对..有吸引力
approach                               n.方法,途径
Asian                         n.亚洲人   adj.亚洲的
association                                  n.协会
astrophysics                           n.天体物理学
athlete                                    n.运动员
attempt                             n.＆vt.尝试,努力
attraction                      n.吸引人的地方或事情
  tourist attraction                 旅游景点,旅游胜地
audience                      n.受众;观众;听众;读者
available                      adj.可买到的,可获得的
aware                    adj.知道的,明白的,意识到的
  be aware of                      知道,明白,意识到
B
balance                                     n.平衡
bankrupt                          adj.破产的,倒闭的
bar                                        n.条,棒
battle                                  n.战役,战斗
be concerned with            对…关心(关注或感兴趣)
be used to                  对..习以为常,习惯于,适应
besides                  prep.除..以外,包括  adv.此外
bid                                    n.申请,争取
billboard                                  n.广告牌
bored                               adj.感到厌倦的
  be bored with                        对..感到厌倦
boxer                          n.拳击手,拳击运动员
branch                                 n.分支;分部
Brazilian                     adj.巴西的    n.巴西人
breath                                  n.气息;呼吸
  bad breath                                  口臭
briefly                            adv.简要地,扼要地
build                                  vt.开发,建构
built-in                         adj.内置的,嵌入式的
burn                                vi.＆vt.燃烧,烧
C
campaign           n.(社会、政治或商业等的)活动,运动
category                                n.类别,种类
centimeter                                   n.厘米
central                            adj.中央的,中心的
ceremony                               n.仪式,典礼
  opening ceremony                          开幕式
character                                    n.人物
choice                                      n.选择
claim                          n.＆vt.声称,宣称,号称
clay                                   n.黏土,陶土
close down                      关闭,使停业,使倒闭
coach                                      n.教练
come across                         发现,(偶然)遇见
comment                           n.评论,意见,评价
commercial          n.(电视台或电台播放的)商业广告
commit                         vt.犯(错误),干(坏事)
  commit suicide                              自杀
committee                                 n.委员会
company                                    n.公司
compete                               vi.比赛;竞争
complete            adj.全部的,完全的,完整的 vt.完成
completely                        adv.完全地;彻底地
